player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_raw,arg_raw,app_raw,ott_raw,t2g_raw,total_raw
"Pavan, Andrea",10,0,0,0,32,28,0.615424495,0.56857633,-0.016775952,-0.925213718,-0.37341334,0.327848863
"Green, Gavin",10,0,0,0,34,20,1.183625195,-0.298927965,0.029636458,-0.148400732,-0.41769224,0.783355833
"Schwartzel, Charl",17,0,0.012,0.001,51,43,-0.365143589,0.243778025,0.014641074,-0.613174921,-0.354755822,-0.772306208
"Noh, Seung-Yul",16,0,0,0,46,28,0.01080092,0.095195822,-0.040664717,-1.161229487,-1.106698382,-0.347651465
"Janewattananond, Jazz",16,0,0,0,58,30,0.197062188,0.264640213,-0.161914406,-0.182977913,-0.080252106,0.862852423
"Wilson, Oliver",9,0,0,0,28,28,-0.001163102,0.36566208,-0.242773854,0.449022791,0.571911017,0.517588484
"Kinhult, Marcus",10,1,0,0,33,27,-0.017396474,0.446404038,-0.247072043,0.194904834,0.394236828,0.959326707
"Saddier, Adrien",6,0,0,0,20,2,0.566185127,-0.628728023,-1.207988448,1.038396956,-0.798319515,0.784402111
"Wolfe, Jared",18,0,0,0,48,31,-0.189040223,-0.206049103,-0.15240334,-0.103944205,-0.462396648,-0.02442007
"Kang, Sung",23,0,0,0,65,46,0.21545945,-0.187668064,-0.383645952,-0.317171669,-0.888485686,-0.450493433
"Scrivener, Jason",10,0,0,0,34,28,-0.246834008,-0.078068101,0.35091539,-0.124463394,0.148383895,0.184161234
"Cabrera Bello, Rafa",10,0,0.005,0,29,18,0.387065351,0.290543817,-0.720262996,0.115011348,-0.314707831,0.002215888
"Chappell, Kevin",13,0,0,0,41,28,-0.098749867,-0.211205718,-0.298185112,-0.349758877,-0.859149707,-0.425584256
"Lingmerth, David",9,0,0,0,28,6,0.471989917,0.908701506,-1.191806516,-0.488047515,-0.771152525,0.250616217
"Kieffer, Maximilian",7,0,0,0,22,22,-0.312404266,-0.102841077,0.426811263,0.126767692,0.450737878,0.26118335
"Jordan, Matthew",11,0,0,0,37,33,-0.084838537,0.334206826,-0.485919266,0.328122357,0.176409917,0.260757406
"Gagli, Lorenzo",9,0,0,0,28,22,0.126880904,0.142603186,0.647034106,-0.403363837,0.386273456,0.447748241
