,Player Name,Fedex Ranking,Events Played,Fedex Points,Number of Wins,Number of Top 10s
164,Sung Kang,165,23,145,0,0
165,Satoshi Kodaira,166,9,142,0,0
166,Dylan Wu,167,17,141,0,1
167,Ryan Armour,168,13,141,0,0
168,Luke Donald,169,15,139,0,0
169,Chase Seiffert,170,11,134,0,0
170,Curtis Thompson,171,19,129,0,1
171,Roger Sloan,172,20,129,0,0
172,Paul Barjon,173,17,126,0,1
173,Joseph Bramlett,174,21,125,0,0
174,Brandt Snedeker,175,17,122,0,0
175,Bill Haas,176,22,119,0,0
176,Seth Reeves,177,18,117,0,1
177,Cameron Percy,178,10,116,0,2
178,Kelly Kraft,179,19,114,0,0
179,Vaughn Taylor,180,13,113,0,1
180,Tyler McCumber,181,11,113,0,1
181,Michael Gligic,182,16,110,0,0
182,Kevin Chappell,183,13,108,0,0
183,Callum Tarren,184,16,107,0,1
184,Ben Kohles,185,16,106,0,0
185,Sean O'Hair,186,7,100,0,0
186,Tommy Gainey,187,8,99,0,1
187,Charley Hoffman,188,16,99,0,0
188,Brian Gay,189,14,90,0,0
189,Wesley Bryan,190,12,85,0,0
190,Camilo Villegas,191,17,85,0,0
191,Austin Cook,192,17,85,0,0
192,Lee Westwood,193,9,84,0,0
193,Nick Hardy,194,13,84,0,0
194,Brandon Hagy,195,22,83,0,0
195,Jimmy Walker,196,14,83,0,0
196,Jim Knous,197,12,82,0,0
197,Richy Werenski,198,19,81,0,0
198,David Skinns,199,16,81,0,0
199,Bronson Burgoon,200,13,80,0,0
200,Kyle Stanley,201,18,80,0,0
201,Robert Garrigus,202,7,79,0,0
202,Henrik Stenson,203,11,78,0,0
203,Jim Herman,204,15,75,0,1
204,Seung-Yul Noh,205,16,74,0,0
205,Aaron Baddeley,206,7,73,0,0
206,Jared Wolfe,207,17,73,0,0
207,Scott Gutschewski,208,15,71,0,0
208,Kiradech Aphibarnrat,209,13,62,0,0
209,Peter Uihlein,210,15,62,0,0
210,William McGirt,211,11,62,0,0
211,Grayson Murray,212,5,62,0,0
212,Dawie van der Walt,213,17,59,0,0
213,Chesson Hadley,214,21,58,0,0
214,David Lingmerth,215,5,50,0,0
215,Scott Brown,216,8,47,0,0
216,Phil Mickelson,217,4,44,0,0
217,Jason Dufner,218,14,40,0,0
218,Bryson DeChambeau,219,5,40,0,0
